0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.15277891,-0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6694719,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9095134,0.0,0.5,0.0,1.0,0.7961383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49640256,0.0,0.0,0.0,0.0,0.12557839,0.0
0.0,0.0,0.0,1.0011084,1.0,0.0,0.0,0.6482292,0.0,0.5,0.0,0.0,0.2074786,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052900225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42857143,0.0,0.0,0.0,0.5,1.0484421,0.0,0.0,0.0,0.0,0.5,0.0,-0.6117163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.23674467,0.0
0.0,0.0,0.0,0.0,0.0,0.8612442,0.0,0.0,0.0,0.0,0.0,0.0,-0.10929268,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8716895,0.0,0.0,0.0,0.5081525,0.0,0.32992503,0.5,0.5216344,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6784852,0.0,0.0,0.0,0.0,0.27564391,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85587263,0.0,0.0,0.16944225,0.0,0.0,0.0,0.0,0.0,0.5333333,0.0,0.0,0.0,0.0,0.0
0.2857143,0.0,0.0,0.58851177,0.0,0.58750325,0.0,0.0,0.0,0.0,0.0,0.0,0.09631769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49243298,0.0,0.0,0.0,0.053563617,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6032362,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6043436,0.0,0.82200164,0.0,0.0,0.0,0.2829097,0.4444265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6657772,0.0,0.0,0.0,0.0,0.2470134,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.9472762,0.0,0.0,0.73314863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44717446,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8630005,0.76687586,0.0,0.0,0.37877056,0.31672284,0.0,0.0,0.0,0.14004913,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.55867827,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571054,0.0,0.0,0.0,0.0,0.1854775,-0.0,0.7648997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.2329035,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86670643,0.0,0.0,0.0,0.0,0.2601552,0.0,0.0,0.0,0.64084566,0.0,0.0,0.74217314,0.0,0.0,0.0
0.5714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9118813,0.0,0.0,0.1790329,0.60042256,0.0,0.0,0.0,0.5333333,0.0,0.0,0.0,0.0,0.0
0.0,0.8,0.0,0.0,1.0,0.43476915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51223624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.99755865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8896947,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.74217314,0.0,0.09819194,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79963934,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37340102,0.0,0.7146816,0.0,0.0,0.5333333,0.0,0.74217314,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4652757,0.0,0.0,0.0,0.5800732,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8844964,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.42857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8716776,0.8280141,0.0,0.0,0.0,0.22012283,0.0,0.0,0.66268826,0.0,0.0,0.0,0.035362918,0.0,0.0
0.0,0.0,0.0,0.43382487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8476157,0.873415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14004913,1.0,0.0,0.11520719,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88342655,0.0,0.0,0.43447554,0.0,0.2032634,0.0,0.66831744,0.0,0.0,0.0,0.0,0.26105216,0.0
0.0,0.0,0.0,0.92133063,0.0,0.0,0.0,0.0,0.587079,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8799815,0.0,0.6158015,0.0,0.0,0.4489749,0.0,0.0,0.0,0.0,0.0,0.035362918,0.0,0.0
0.42857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.5776608,0.0,0.0,0.0,0.8305363,0.0,0.0,0.0,0.35040125,0.0,0.0,0.0,0.7010068,0.0,0.0,0.0,0.053563617,0.0,0.0
0.5714286,0.0,0.0,0.0,0.0,0.47398153,1.0,0.5392197,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15421975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20956962,0.0,0.0
0.0,0.8,0.0,0.53248775,0.0,0.0,1.0,0.0,0.49986175,0.0,0.0,0.0,0.0,-0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74217314,0.035362918,0.0,0.0
0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7922555,0.29272196,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5515832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.4424419,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41357836,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.71428573,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.8257703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333,0.0,0.0,0.0,0.11520719,0.0
0.0,0.0,0.0,1.0204986,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.036398046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46747825,0.5340237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053563617,0.11520719,0.0
0.0,0.0,0.46357617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3409846,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80873924,0.0,0.0,0.0,0.43942252,0.5,0.0,0.5333333,0.0,0.0,0.0,0.0,0.0
0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47846,0.0,0.0,0.7547239,0.0,0.8651316,0.0,0.0,0.47468624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09819194,0.0
0.2857143,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85038614,0.0,0.0,0.4505754,0.42649108,0.0,0.0,0.0,0.0,0.0,0.44717446,0.0,0.0,0.0,0.0
0.71428573,0.0,0.0,0.0,0.0,0.0,0.0,0.87937313,0.0,0.5,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579919,0.55596757,0.0,0.0,0.0,0.0,0.5333333,0.14004913,0.0,0.0,0.0,0.0
0.2857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9014827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333,0.0,0.74217314,0.11986616,0.0,1.0
0.2857143,0.0,0.0,0.94869024,0.0,0.0,0.0,0.0,0.35151863,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42541015,-0.0,0.23037359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.42857143,1.0,0.0,0.68643105,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.2313183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333,0.0,0.0,0.0,0.0,0.0
0.0,0.8,0.0,0.0,0.0,0.51752037,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50180864,0.0,0.0,0.0,0.0,0.14004913,0.0,0.0,0.09819194,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340639,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.064649194,0.40514913,0.0,0.0,0.0,0.5123318,0.0,0.0,0.0,0.035362918,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49630105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8515597,0.0,0.88713425,0.0,0.40198815,0.0,0.0,0.0,0.0,0.0,0.5333333,0.0,0.74217314,0.0,0.0,0.0
0.2857143,0.0,0.0,0.43793583,0.0,0.0,0.0,0.0,0.45484492,0.0,0.0,0.0,-0.0,-0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8619644,0.0,0.0,0.0,0.0,0.0,0.45755655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.48850214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35070574,0.0,0.0,0.0,0.0,0.0,0.035362918,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83398926,0.0,0.86415994,0.0,0.0,0.56992227,0.0,0.0,0.0,0.0,0.0,1.0,0.053563617,0.11520719,0.0
0.0,0.0,0.910596,0.0,1.0,0.90531766,0.0,0.0,0.0,0.0,0.0,0.0,0.37861344,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7675869,0.0,0.0,0.0,0.0,0.14004913,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1638629,1.0,0.16392659,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835699,0.0,0.0,0.0,0.2549706,0.0,0.0,0.0,0.0,0.0,0.0,0.07921794,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.65433455,1.0,0.0,0.0,0.0,0.0,0.0,0.44446704,0.0,0.0,0.0,0.0,0.67811596,0.0,0.0,0.62572473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66524774,0.0,0.0,0.0,0.0,0.1771913,0.0
0.0,0.0,0.87086093,0.0,0.0,0.0,0.0,0.43001992,0.0,0.0,0.0,0.0,-0.28413546,0.19922467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17263749,0.2628757,0.0,0.0,0.0,0.0,0.0,0.0,0.18356861,0.0,0.0
0.5714286,1.0,0.0,0.7180559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8935171,0.0,0.8711953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44717446,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.106145054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79659086,0.0,0.8858474,0.0,0.0,0.0,0.0,0.377111,0.0,0.55551857,0.0,0.0,0.0,0.053563617,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10956071,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8097358,0.0,0.0,0.0,0.0,0.29423827,0.0,0.0,0.0,0.0,0.5333333,0.0,1.0,0.0,0.11520719,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6625998,0.6530138,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8662376,0.86583596,0.0,0.0,0.0,0.4857143,0.0,0.0,0.0,0.0,0.0,0.0,0.74217314,0.0,0.0,0.0
0.0,0.0,0.0,0.33441836,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,-0.0,-0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88421184,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.20956962,0.0,0.0
0.85714287,0.0,0.0,0.13018955,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15109313,0.0,0.0,0.49162683,0.0,0.0,0.74217314,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6972621,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61822814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333,0.0,0.74217314,0.0,0.0,0.0
0.0,0.0,1.0331125,0.0,0.5,0.0,0.0,0.74114156,0.0,0.0,0.0,1.0,0.0,0.2320336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31197932,0.0,0.17338678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0192499,1.0,1.0194021,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3855405,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.75165564,0.0,0.0,0.70445096,0.0,0.0,0.44486043,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8382797,0.0,0.0,0.0,0.38008407,0.48838058,0.0,0.0,0.6724292,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.44693244,0.0,0.0,0.0,0.0,0.5,0.0,0.5951376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4839292,0.0,0.0,0.0,0.0,0.0,0.74217314,0.0,0.09819194,1.0
0.71428573,0.0,0.0,0.43691158,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8166468,0.0,0.0,0.6006257,0.0,0.0,0.0,0.0,0.0,0.0,0.5085995,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14307787,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35634875,0.0,0.0,0.0,0.0,0.0,0.0,0.74217314,0.0,0.19299117,0.0
0.0,0.0,0.91721857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8393154,0.0,0.8720027,0.0,0.35266057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2656546,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14004913,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.71500504,0.0,0.0,0.0,0.0,0.0,0.1857088,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20222118,0.0,0.0,0.7402106,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.23841059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8682528,0.0,0.55972016,0.1813252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13919058,0.0
0.0,0.8,0.0,0.5250937,0.0,0.5238588,0.0,0.0,0.0,0.0,0.0,0.0,-0.29478368,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.11520719,0.0
